id,crimeType,date,time,latitude,longitude,area,zone,policeStation,description,isAccident,isSensitiveZone
FIR2014,Assault,23-12-2025,0.34,19.19751,72.87353,Malad,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2015,Murder,05-01-2026,13.26,19.05439,72.81081,Bandra,Zone D,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2016,Burglary,15-12-2025,14.32,19.1254,72.85201,Malad,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2017,Kidnapping,02-01-2026,3.09,19.01608,72.90735,Bandra,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2018,Cyber Crime,30-12-2025,20.59,19.00973,72.8422,Dadar,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2019,Theft,19-01-2026,5.52,19.08085,72.93615,Bandra,Zone D,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2020,Kidnapping,18-12-2025,22.57,19.1318,72.87141,Malad,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2021,Fraud,20-12-2025,17.01,19.04004,72.88285,Andheri,Zone A,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2022,Theft,09-01-2026,9.20,19.18858,72.9151,Andheri,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2023,Murder,24-12-2025,18.17,19.08428,72.92742,Kurla,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2024,Theft,02-01-2026,4.03,19.09414,72.85273,Mulund,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2025,Assault,14-01-2026,15.34,19.18181,72.81574,Mulund,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2026,Theft,16-01-2026,11.20,19.16723,72.94819,Borivali,Zone B,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2027,Theft,26-12-2025,14.05,19.09168,72.89944,Dadar,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2028,Assault,16-01-2026,8.17,19.13573,72.92214,Kurla,Zone A,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2029,Kidnapping,17-12-2025,10.49,19.02075,72.94589,Borivali,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2030,Cyber Crime,05-12-2025,11.06,19.19271,72.82348,Kurla,Zone C,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2031,Theft,07-01-2026,13.02,19.05766,72.82197,Ghatkopar,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2032,Murder,12-12-2025,1.03,19.0861,72.90474,Ghatkopar,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2033,Assault,17-01-2026,3.57,19.10996,72.86106,Kurla,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2034,Theft,01-12-2025,11.12,19.05693,72.94857,Ghatkopar,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2035,Murder,06-12-2025,21.44,19.13947,72.80529,Thane,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2036,Murder,02-01-2026,13.28,19.08003,72.90354,Malad,Zone A,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2037,Burglary,26-12-2025,23.00,19.1579,72.94878,Borivali,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2038,Kidnapping,15-01-2026,2.00,19.17722,72.84401,Borivali,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2039,Assault,01-01-2026,0.52,19.00855,72.89851,Malad,Zone C,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2040,Robbery,19-12-2025,17.54,19.11397,72.91818,Colaba,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2041,Murder,04-12-2025,3.20,19.15347,72.84492,Dadar,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2042,Assault,13-01-2026,22.50,19.1202,72.94346,Borivali,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2043,Fraud,04-01-2026,1.50,19.17353,72.89815,Kurla,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2044,Theft,27-12-2025,3.22,19.15058,72.83513,Kurla,Zone A,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2045,Murder,03-01-2026,19.14,19.06963,72.89118,Kurla,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2046,Burglary,04-12-2025,17.22,19.11188,72.93267,Colaba,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2047,Burglary,10-12-2025,3.30,19.19881,72.82256,Bandra,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2048,Cyber Crime,01-12-2025,22.38,19.0865,72.83434,Malad,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2049,Assault,19-12-2025,13.21,19.09458,72.94274,Mulund,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2050,Robbery,18-12-2025,3.48,19.03937,72.91528,Ghatkopar,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2051,Burglary,22-12-2025,17.26,19.05107,72.83325,Thane,Zone A,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2052,Assault,03-12-2025,14.59,19.04434,72.81334,Kurla,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2053,Cyber Crime,17-12-2025,10.44,19.16697,72.90586,Thane,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2054,Robbery,03-01-2026,9.22,19.06004,72.85184,Dadar,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2055,Cyber Crime,18-12-2025,17.55,19.03268,72.83776,Bandra,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2056,Robbery,14-12-2025,13.48,19.01962,72.92772,Bandra,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2057,Fraud,16-12-2025,5.30,19.08259,72.84762,Kurla,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2058,Burglary,01-12-2025,16.56,19.05367,72.86834,Bandra,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2059,Robbery,07-01-2026,17.29,19.10829,72.92164,Kurla,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2060,Assault,15-01-2026,16.39,19.09085,72.91422,Colaba,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2061,Kidnapping,12-12-2025,20.25,19.004,72.8659,Colaba,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2062,Robbery,20-12-2025,0.27,19.07388,72.82086,Borivali,Zone D,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2063,Fraud,26-12-2025,18.23,19.10579,72.938,Kurla,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2064,Cyber Crime,18-01-2026,16.44,19.04162,72.91623,Andheri,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2065,Fraud,19-01-2026,7.05,19.10748,72.91467,Colaba,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2066,Burglary,22-12-2025,23.34,19.11038,72.84534,Andheri,Zone D,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2067,Murder,11-01-2026,1.46,19.16699,72.83357,Andheri,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2068,Robbery,11-01-2026,13.30,19.14856,72.87908,Dadar,Zone A,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2069,Robbery,04-01-2026,23.09,19.16203,72.86967,Bandra,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2070,Murder,29-12-2025,9.46,19.10996,72.82844,Ghatkopar,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2071,Burglary,20-01-2026,3.13,19.13384,72.85515,Ghatkopar,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2072,Robbery,09-12-2025,23.00,19.02895,72.905,Ghatkopar,Zone A,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2073,Fraud,13-12-2025,8.01,19.09719,72.81972,Ghatkopar,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2074,Fraud,30-12-2025,7.13,19.11789,72.80912,Andheri,Zone D,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2075,Kidnapping,09-01-2026,20.50,19.14045,72.81367,Borivali,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2076,Assault,01-12-2025,6.01,19.12967,72.93779,Ghatkopar,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2077,Robbery,19-12-2025,8.53,19.06459,72.91871,Colaba,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2078,Murder,05-01-2026,10.42,19.08556,72.94132,Malad,Zone B,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2079,Assault,25-12-2025,22.27,19.07371,72.82422,Colaba,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2080,Cyber Crime,16-01-2026,14.36,19.03907,72.89595,Kurla,Zone A,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2081,Murder,11-12-2025,1.06,19.05311,72.9405,Borivali,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2082,Theft,13-01-2026,0.01,19.14806,72.93296,Kurla,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2083,Burglary,16-12-2025,11.35,19.05008,72.85517,Ghatkopar,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2084,Murder,21-12-2025,21.25,19.08359,72.86885,Andheri,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2085,Burglary,04-01-2026,7.30,19.10212,72.94587,Andheri,Zone C,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2086,Kidnapping,25-12-2025,14.46,19.13074,72.84717,Andheri,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2087,Theft,05-01-2026,22.16,19.19128,72.89142,Malad,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2088,Robbery,14-12-2025,4.47,19.02277,72.85205,Ghatkopar,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2089,Theft,19-12-2025,23.40,19.0601,72.87666,Ghatkopar,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2090,Theft,06-01-2026,1.48,19.08639,72.94587,Mulund,Zone B,Andheri PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2091,Burglary,10-12-2025,0.36,19.12013,72.87654,Thane,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2092,Assault,07-01-2026,21.45,19.19547,72.80589,Andheri,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2093,Fraud,14-01-2026,5.53,19.08669,72.84716,Colaba,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2094,Cyber Crime,19-12-2025,1.06,19.02175,72.82297,Ghatkopar,Zone C,Colaba PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2095,Burglary,06-01-2026,22.36,19.0313,72.88222,Thane,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2096,Fraud,28-12-2025,17.00,19.13992,72.87747,Bandra,Zone C,Andheri PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2097,Robbery,01-12-2025,0.37,19.1349,72.80395,Thane,Zone B,Kurla PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2098,Cyber Crime,23-12-2025,5.38,19.05399,72.8381,Borivali,Zone C,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2099,Burglary,10-12-2025,17.33,19.12031,72.84517,Dadar,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2100,Fraud,20-12-2025,15.49,19.11648,72.85556,Mulund,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2101,Kidnapping,13-12-2025,7.11,19.03686,72.8279,Ghatkopar,Zone D,Colaba PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2102,Robbery,07-01-2026,2.58,19.14588,72.88221,Kurla,Zone C,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2103,Murder,19-01-2026,3.04,19.08625,72.83032,Bandra,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2104,Cyber Crime,05-01-2026,15.03,19.08723,72.92889,Thane,Zone A,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2105,Kidnapping,19-01-2026,10.13,19.00556,72.84456,Bandra,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2106,Assault,09-01-2026,6.38,19.16779,72.88661,Mulund,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2107,Murder,10-12-2025,17.37,19.05487,72.88787,Mulund,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2108,Murder,11-12-2025,12.51,19.03985,72.86742,Colaba,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2109,Cyber Crime,14-01-2026,8.37,19.07781,72.8914,Ghatkopar,Zone C,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2110,Fraud,29-12-2025,7.02,19.05262,72.80455,Malad,Zone D,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2111,Assault,01-01-2026,19.02,19.07668,72.88956,Malad,Zone B,Borivali PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2112,Assault,15-01-2026,4.30,19.14169,72.84917,Colaba,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2113,Kidnapping,09-01-2026,9.08,19.01144,72.86488,Bandra,Zone A,Kurla PS,Dummy FIR record for Mumbai region (land only),FALSE,TRUE
FIR2114,Kidnapping,09-01-2026,23.18,19.08837,72.85399,Dadar,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2115,Assault,20-01-2026,9.53,19.09035,72.84933,Ghatkopar,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
FIR2116,Murder,19-12-2025,2.45,19.02723,72.92315,Dadar,Zone B,Bandra PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2117,Theft,04-01-2026,15.24,19.14909,72.85705,Andheri,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,FALSE
FIR2118,Burglary,12-12-2025,11.19,19.168,72.89623,Dadar,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),FALSE,FALSE
FIR2119,Theft,20-01-2026,18.30,19.14965,72.87332,Dadar,Zone B,Dadar PS,Dummy FIR record for Mumbai region (land only),TRUE,TRUE
,,,,,,,,,,,
